# r  u  V_H  V_x  V_c  V_eff
6.100000000100e-02 2.542051715249e-01 3.287282743822e+00 -1.381975049468e+00 -8.794964255546e-02 1.817358051799e+00
6.200000000100e-02 2.578603840196e-01 3.286526477374e+00 -1.380148427559e+00 -8.791327956862e-02 1.818464770247e+00
6.300000000100e-02 2.615001924455e-01 3.285760173314e+00 -1.378324513425e+00 -8.787692771446e-02 1.819558732174e+00
6.400000000100e-02 2.651246477330e-01 3.284983896438e+00 -1.376503304182e+00 -8.784058702541e-02 1.820640005231e+00
6.500000000100e-02 2.687338006774e-01 3.284197711217e+00 -1.374684796935e+00 -8.780425753365e-02 1.821708656749e+00
6.600000000100e-02 2.723277019395e-01 3.283401681792e+00 -1.372868988778e+00 -8.776793927118e-02 1.822764753743e+00
6.700000000100e-02 2.759064020449e-01 3.282595871981e+00 -1.371055876796e+00 -8.773163226974e-02 1.823808362915e+00
6.800000000100e-02 2.794699513849e-01 3.281780345275e+00 -1.369245458064e+00 -8.769533656088e-02 1.824839550650e+00
6.900000000100e-02 2.830184002158e-01 3.280955164845e+00 -1.367437729645e+00 -8.765905217593e-02 1.825858383024e+00
7.000000000100e-02 2.865517986592e-01 3.280120393539e+00 -1.365632688594e+00 -8.762277914599e-02 1.826864925799e+00
7.100000000100e-02 2.900701967023e-01 3.279276093886e+00 -1.363830331955e+00 -8.758651750196e-02 1.827859244429e+00
7.200000000100e-02 2.935736441977e-01 3.278422328097e+00 -1.362030656764e+00 -8.755026727453e-02 1.828841404059e+00
7.300000000100e-02 2.970621908635e-01 3.277559158066e+00 -1.360233660046e+00 -8.751402849415e-02 1.829811469526e+00
7.400000000100e-02 3.005358862833e-01 3.276686645372e+00 -1.358439338817e+00 -8.747780119110e-02 1.830769505364e+00
7.500000000100e-02 3.039947799067e-01 3.275804851280e+00 -1.356647690085e+00 -8.744158539542e-02 1.831715575800e+00
7.600000000100e-02 3.074389210487e-01 3.274913836743e+00 -1.354858710847e+00 -8.740538113695e-02 1.832649744759e+00
7.700000000100e-02 3.108683588903e-01 3.274013662402e+00 -1.353072398093e+00 -8.736918844533e-02 1.833572075864e+00
7.800000000100e-02 3.142831424784e-01 3.273104388590e+00 -1.351288748802e+00 -8.733300734999e-02 1.834482632438e+00
7.900000000100e-02 3.176833207257e-01 3.272186075330e+00 -1.349507759946e+00 -8.729683788013e-02 1.835381477504e+00
8.000000000100e-02 3.210689424113e-01 3.271258782342e+00 -1.347729428488e+00 -8.726068006479e-02 1.836268673789e+00
8.100000000100e-02 3.244400561803e-01 3.270322569036e+00 -1.345953751381e+00 -8.722453393277e-02 1.837144283722e+00
8.200000000100e-02 3.277967105440e-01 3.269377494523e+00 -1.344180725573e+00 -8.718839951269e-02 1.838008369437e+00
8.300000000100e-02 3.311389538803e-01 3.268423617607e+00 -1.342410348000e+00 -8.715227683296e-02 1.838860992774e+00
8.400000000100e-02 3.344668344332e-01 3.267460996795e+00 -1.340642615592e+00 -8.711616592178e-02 1.839702215281e+00
8.500000000100e-02 3.377804003137e-01 3.266489690293e+00 -1.338877525272e+00 -8.708006680718e-02 1.840532098214e+00
8.600000000100e-02 3.410796994991e-01 3.265509756008e+00 -1.337115073951e+00 -8.704397951695e-02 1.841350702540e+00
8.700000000100e-02 3.443647798338e-01 3.264521251551e+00 -1.335355258537e+00 -8.700790407872e-02 1.842158088935e+00
8.800000000100e-02 3.476356890289e-01 3.263524234237e+00 -1.333598075927e+00 -8.697184051990e-02 1.842954317790e+00
8.900000000100e-02 3.508924746626e-01 3.262518761089e+00 -1.331843523013e+00 -8.693578886773e-02 1.843739449209e+00
9.000000000100e-02 3.541351841802e-01 3.261504888836e+00 -1.330091596677e+00 -8.689974914924e-02 1.844513543009e+00
9.100000000100e-02 3.573638648943e-01 3.260482673914e+00 -1.328342293795e+00 -8.686372139125e-02 1.845276658727e+00
9.200000000100e-02 3.605785639849e-01 3.259452172471e+00 -1.326595611236e+00 -8.682770562042e-02 1.846028855615e+00
9.300000000100e-02 3.637793284995e-01 3.258413440368e+00 -1.324851545862e+00 -8.679170186321e-02 1.846770192643e+00
9.400000000100e-02 3.669662053533e-01 3.257366533176e+00 -1.323110094527e+00 -8.675571014587e-02 1.847500728503e+00
9.500000000100e-02 3.701392413290e-01 3.256311506181e+00 -1.321371254079e+00 -8.671973049449e-02 1.848220521608e+00
9.600000000100e-02 3.732984830777e-01 3.255248414384e+00 -1.319635021358e+00 -8.668376293496e-02 1.848929630092e+00
9.700000000100e-02 3.764439771181e-01 3.254177312505e+00 -1.317901393199e+00 -8.664780749298e-02 1.849628111813e+00
9.800000000100e-02 3.795757698373e-01 3.253098254980e+00 -1.316170366430e+00 -8.661186419406e-02 1.850316024356e+00
9.900000000100e-02 3.826939074909e-01 3.252011295965e+00 -1.314441937871e+00 -8.657593306353e-02 1.850993425031e+00
1.000000000010e-01 3.857984362025e-01 3.250916489337e+00 -1.312716104338e+00 -8.654001412655e-02 1.851660370873e+00
1.010000000010e-01 3.888894019649e-01 3.249813888695e+00 -1.310992862638e+00 -8.650410740808e-02 1.852316918649e+00
1.020000000010e-01 3.919668506393e-01 3.248703547362e+00 -1.309272209575e+00 -8.646821293289e-02 1.852963124853e+00
1.030000000010e-01 3.950308279561e-01 3.247585518384e+00 -1.307554141945e+00 -8.643233072560e-02 1.853599045713e+00
1.040000000010e-01 3.980813795144e-01 3.246459854534e+00 -1.305838656538e+00 -8.639646081062e-02 1.854224737186e+00
1.050000000010e-01 4.011185507830e-01 3.245326608315e+00 -1.304125750138e+00 -8.636060321220e-02 1.854840254964e+00
1.060000000010e-01 4.041423870999e-01 3.244185831953e+00 -1.302415419524e+00 -8.632475795440e-02 1.855445654474e+00
1.070000000010e-01 4.071529336726e-01 3.243037577408e+00 -1.300707661470e+00 -8.628892506110e-02 1.856040990877e+00
1.080000000010e-01 4.101502355785e-01 3.241881896371e+00 -1.299002472743e+00 -8.625310455603e-02 1.856626319072e+00
1.090000000010e-01 4.131343377649e-01 3.240718840264e+00 -1.297299850105e+00 -8.621729646271e-02 1.857201693696e+00
1.100000000010e-01 4.161052850490e-01 3.239548460242e+00 -1.295599790312e+00 -8.618150080450e-02 1.857767169126e+00
1.110000000010e-01 4.190631221184e-01 3.238370807197e+00 -1.293902290116e+00 -8.614571760459e-02 1.858322799477e+00
1.120000000010e-01 4.220078935312e-01 3.237185931757e+00 -1.292207346263e+00 -8.610994688601e-02 1.858868638607e+00
1.130000000010e-01 4.249396437159e-01 3.235993884285e+00 -1.290514955495e+00 -8.607418867158e-02 1.859404740119e+00
1.140000000010e-01 4.278584169719e-01 3.234794714886e+00 -1.288825114547e+00 -8.603844298399e-02 1.859931157355e+00
1.150000000010e-01 4.307642574695e-01 3.233588473402e+00 -1.287137820151e+00 -8.600270984573e-02 1.860447943405e+00
1.160000000010e-01 4.336572092501e-01 3.232375209418e+00 -1.285453069033e+00 -8.596698927915e-02 1.860955151106e+00
1.170000000010e-01 4.365373162266e-01 3.231154972261e+00 -1.283770857915e+00 -8.593128130640e-02 1.861452833040e+00
1.180000000010e-01 4.394046221833e-01 3.229927811002e+00 -1.282091183514e+00 -8.589558594949e-02 1.861941041538e+00
1.190000000010e-01 4.422591707761e-01 3.228693774454e+00 -1.280414042542e+00 -8.585990323024e-02 1.862419828682e+00
1.200000000010e-01 4.451010055329e-01 3.227452911181e+00 -1.278739431708e+00 -8.582423317034e-02 1.862889246303e+00
1.210000000010e-01 4.479301698536e-01 3.226205269490e+00 -1.277067347714e+00 -8.578857579127e-02 1.863349345984e+00
1.220000000010e-01 4.507467070106e-01 3.224950897438e+00 -1.275397787262e+00 -8.575293111438e-02 1.863800179062e+00
1.230000000010e-01 4.535506601484e-01 3.223689842833e+00 -1.273730747046e+00 -8.571729916084e-02 1.864241796626e+00
1.240000000010e-01 4.563420722845e-01 3.222422153230e+00 -1.272066223756e+00 -8.568167995167e-02 1.864674249522e+00
1.250000000010e-01 4.591209863090e-01 3.221147875940e+00 -1.270404214081e+00 -8.564607350773e-02 1.865097588351e+00
1.260000000010e-01 4.618874449852e-01 3.219867058026e+00 -1.268744714703e+00 -8.561047984970e-02 1.865511863473e+00
1.270000000010e-01 4.646414909496e-01 3.218579746304e+00 -1.267087722302e+00 -8.557489899813e-02 1.865917125004e+00
1.280000000010e-01 4.673831667122e-01 3.217285987347e+00 -1.265433233553e+00 -8.553933097338e-02 1.866313422820e+00
1.290000000010e-01 4.701125146568e-01 3.215985827484e+00 -1.263781245128e+00 -8.550377579568e-02 1.866700806560e+00
1.300000000010e-01 4.728295770408e-01 3.214679312802e+00 -1.262131753696e+00 -8.546823348509e-02 1.867079325621e+00
1.310000000010e-01 4.755343959959e-01 3.213366489149e+00 -1.260484755921e+00 -8.543270406151e-02 1.867449029166e+00
1.320000000010e-01 4.782270135280e-01 3.212047402129e+00 -1.258840248464e+00 -8.539718754470e-02 1.867809966120e+00
1.330000000010e-01 4.809074715175e-01 3.210722097110e+00 -1.257198227984e+00 -8.536168395424e-02 1.868162185172e+00
1.340000000010e-01 4.835758117197e-01 3.209390619224e+00 -1.255558691134e+00 -8.532619330960e-02 1.868505734780e+00
1.350000000010e-01 4.862320757646e-01 3.208053013363e+00 -1.253921634567e+00 -8.529071563005e-02 1.868840663165e+00
1.360000000010e-01 4.888763051574e-01 3.206709324186e+00 -1.252287054931e+00 -8.525525093473e-02 1.869167018320e+00
1.370000000010e-01 4.915085412787e-01 3.205359596117e+00 -1.250654948871e+00 -8.521979924264e-02 1.869484848003e+00
1.380000000010e-01 4.941288253849e-01 3.204003873349e+00 -1.249025313029e+00 -8.518436057261e-02 1.869794199747e+00
1.390000000010e-01 4.967371986078e-01 3.202642199839e+00 -1.247398144045e+00 -8.514893494334e-02 1.870095120851e+00
1.400000000010e-01 4.993337019554e-01 3.201274619318e+00 -1.245773438555e+00 -8.511352237335e-02 1.870387658389e+00
1.410000000010e-01 5.019183763122e-01 3.199901175284e+00 -1.244151193194e+00 -8.507812288105e-02 1.870671859209e+00
1.420000000010e-01 5.044912624388e-01 3.198521911007e+00 -1.242531404591e+00 -8.504273648467e-02 1.870947769931e+00
1.430000000010e-01 5.070524009726e-01 3.197136869530e+00 -1.240914069376e+00 -8.500736320233e-02 1.871215436952e+00
1.440000000010e-01 5.096018324282e-01 3.195746093671e+00 -1.239299184175e+00 -8.497200305197e-02 1.871474906444e+00
1.450000000010e-01 5.121395971969e-01 3.194349626020e+00 -1.237686745611e+00 -8.493665605141e-02 1.871726224358e+00
1.460000000010e-01 5.146657355477e-01 3.192947508945e+00 -1.236076750305e+00 -8.490132221830e-02 1.871969436422e+00
1.470000000010e-01 5.171802876272e-01 3.191539784590e+00 -1.234469194877e+00 -8.486600157018e-02 1.872204588143e+00
1.480000000010e-01 5.196832934598e-01 3.190126494875e+00 -1.232864075942e+00 -8.483069412442e-02 1.872431724809e+00
1.490000000010e-01 5.221747929478e-01 3.188707681504e+00 -1.231261390116e+00 -8.479539989827e-02 1.872650891490e+00
1.500000000010e-01 5.246548258720e-01 3.187283385956e+00 -1.229661134010e+00 -8.476011890882e-02 1.872862133037e+00
1.510000000010e-01 5.271234318917e-01 3.185853649493e+00 -1.228063304234e+00 -8.472485117304e-02 1.873065494086e+00
1.520000000010e-01 5.295806505451e-01 3.184418513161e+00 -1.226467897398e+00 -8.468959670774e-02 1.873261019055e+00
1.530000000010e-01 5.320265212492e-01 3.182978017787e+00 -1.224874910107e+00 -8.465435552960e-02 1.873448752150e+00
1.540000000010e-01 5.344610833003e-01 3.181532203982e+00 -1.223284338967e+00 -8.461912765517e-02 1.873628737360e+00
1.550000000010e-01 5.368843758744e-01 3.180081112144e+00 -1.221696180578e+00 -8.458391310085e-02 1.873801018465e+00
1.560000000010e-01 5.392964380269e-01 3.178624782457e+00 -1.220110431544e+00 -8.454871188293e-02 1.873965639030e+00
1.570000000010e-01 5.416973086935e-01 3.177163254892e+00 -1.218527088463e+00 -8.451352401752e-02 1.874122642411e+00
1.580000000010e-01 5.440870266899e-01 3.175696569208e+00 -1.216946147933e+00 -8.447834952064e-02 1.874272071754e+00
1.590000000010e-01 5.464656307123e-01 3.174224764954e+00 -1.215367606551e+00 -8.444318840815e-02 1.874413969995e+00
1.600000000010e-01 5.488331593376e-01 3.172747881470e+00 -1.213791460911e+00 -8.440804069578e-02 1.874548379864e+00
1.610000000010e-01 5.511896510238e-01 3.171265957887e+00 -1.212217707606e+00 -8.437290639914e-02 1.874675343881e+00
1.620000000010e-01 5.535351441099e-01 3.169779033127e+00 -1.210646343230e+00 -8.433778553370e-02 1.874794904364e+00
1.630000000010e-01 5.558696768163e-01 3.168287145909e+00 -1.209077364373e+00 -8.430267811479e-02 1.874907103422e+00
1.640000000010e-01 5.581932872453e-01 3.166790334744e+00 -1.207510767624e+00 -8.426758415762e-02 1.875011982962e+00
1.650000000010e-01 5.605060133809e-01 3.165288637938e+00 -1.205946549573e+00 -8.423250367728e-02 1.875109584687e+00
1.660000000010e-01 5.628078930895e-01 3.163782093595e+00 -1.204384706807e+00 -8.419743668870e-02 1.875199950100e+00
1.670000000010e-01 5.650989641198e-01 3.162270739616e+00 -1.202825235912e+00 -8.416238320672e-02 1.875283120498e+00
1.680000000010e-01 5.673792641032e-01 3.160754613701e+00 -1.201268133473e+00 -8.412734324603e-02 1.875359136982e+00
1.690000000010e-01 5.696488305540e-01 3.159233753348e+00 -1.199713396076e+00 -8.409231682119e-02 1.875428040451e+00
1.700000000010e-01 5.719077008697e-01 3.157708195857e+00 -1.198161020305e+00 -8.405730394665e-02 1.875489871606e+00
1.710000000010e-01 5.741559123312e-01 3.156177978329e+00 -1.196611002742e+00 -8.402230463672e-02 1.875544670950e+00
1.720000000010e-01 5.763935021033e-01 3.154643137666e+00 -1.195063339969e+00 -8.398731890559e-02 1.875592478791e+00
1.730000000010e-01 5.786205072344e-01 3.153103710575e+00 -1.193518028568e+00 -8.395234676734e-02 1.875633335239e+00
1.740000000010e-01 5.808369646574e-01 3.151559733567e+00 -1.191975065121e+00 -8.391738823590e-02 1.875667280210e+00
1.750000000010e-01 5.830429111894e-01 3.150011242957e+00 -1.190434446207e+00 -8.388244332509e-02 1.875694353425e+00
1.760000000010e-01 5.852383835324e-01 3.148458274869e+00 -1.188896168407e+00 -8.384751204862e-02 1.875714594414e+00
1.770000000010e-01 5.874234182732e-01 3.146900865230e+00 -1.187360228299e+00 -8.381259442007e-02 1.875728042511e+00
1.780000000010e-01 5.895980518840e-01 3.145339049779e+00 -1.185826622464e+00 -8.377769045288e-02 1.875734736862e+00
1.790000000010e-01 5.917623207224e-01 3.143772864062e+00 -1.184295347480e+00 -8.374280016041e-02 1.875734716421e+00
1.800000000010e-01 5.939162610316e-01 3.142202343434e+00 -1.182766399925e+00 -8.370792355586e-02 1.875728019953e+00
1.810000000010e-01 5.960599089410e-01 3.140627523064e+00 -1.181239776377e+00 -8.367306065233e-02 1.875714686034e+00
1.820000000010e-01 5.981933004661e-01 3.139048437929e+00 -1.179715473415e+00 -8.363821146281e-02 1.875694753051e+00
1.830000000010e-01 6.003164715090e-01 3.137465122822e+00 -1.178193487617e+00 -8.360337600016e-02 1.875668259205e+00
1.840000000010e-01 6.024294578585e-01 3.135877612348e+00 -1.176673815560e+00 -8.356855427713e-02 1.875635242511e+00
1.850000000010e-01 6.045322951904e-01 3.134285940927e+00 -1.175156453822e+00 -8.353374630635e-02 1.875595740799e+00
1.860000000010e-01 6.066250190681e-01 3.132690142793e+00 -1.173641398981e+00 -8.349895210034e-02 1.875549791712e+00
1.870000000010e-01 6.087076649421e-01 3.131090251999e+00 -1.172128647615e+00 -8.346417167149e-02 1.875497432713e+00
1.880000000010e-01 6.107802681510e-01 3.129486302413e+00 -1.170618196302e+00 -8.342940503209e-02 1.875438701079e+00
1.890000000010e-01 6.128428639214e-01 3.127878327722e+00 -1.169110041619e+00 -8.339465219432e-02 1.875373633908e+00
1.900000000010e-01 6.148954873682e-01 3.126266361432e+00 -1.167604180147e+00 -8.335991317023e-02 1.875302268115e+00
1.910000000010e-01 6.169381734951e-01 3.124650436869e+00 -1.166100608462e+00 -8.332518797178e-02 1.875224640435e+00
1.920000000010e-01 6.189709571943e-01 3.123030587180e+00 -1.164599323145e+00 -8.329047661080e-02 1.875140787424e+00
1.930000000010e-01 6.209938732476e-01 3.121406845332e+00 -1.163100320775e+00 -8.325577909902e-02 1.875050745458e+00
1.940000000010e-01 6.230069563257e-01 3.119779244117e+00 -1.161603597930e+00 -8.322109544805e-02 1.874954550739e+00
1.950000000010e-01 6.250102409894e-01 3.118147816150e+00 -1.160109151193e+00 -8.318642566940e-02 1.874852239287e+00
1.960000000010e-01 6.270037616891e-01 3.116512593867e+00 -1.158616977142e+00 -8.315176977446e-02 1.874743846951e+00
1.970000000010e-01 6.289875527656e-01 3.114873609535e+00 -1.157127072361e+00 -8.311712777452e-02 1.874629409400e+00
1.980000000010e-01 6.309616484500e-01 3.113230895241e+00 -1.155639433429e+00 -8.308249968076e-02 1.874508962131e+00
1.990000000010e-01 6.329260828643e-01 3.111584482903e+00 -1.154154056931e+00 -8.304788550425e-02 1.874382540468e+00
2.000000000010e-01 6.348808900213e-01 3.109934404265e+00 -1.152670939449e+00 -8.301328525597e-02 1.874250179560e+00
2.010000000010e-01 6.368261038251e-01 3.108280690900e+00 -1.151190077567e+00 -8.297869894676e-02 1.874111914385e+00
2.020000000010e-01 6.387617580715e-01 3.106623374209e+00 -1.149711467870e+00 -8.294412658738e-02 1.873967779752e+00
2.030000000010e-01 6.406878864478e-01 3.104962485427e+00 -1.148235106944e+00 -8.290956818848e-02 1.873817810294e+00
2.040000000010e-01 6.426045225336e-01 3.103298055615e+00 -1.146760991374e+00 -8.287502376061e-02 1.873662040480e+00
2.050000000010e-01 6.445116998007e-01 3.101630115670e+00 -1.145289117748e+00 -8.284049331421e-02 1.873500504607e+00
2.060000000010e-01 6.464094516135e-01 3.099958696319e+00 -1.143819482655e+00 -8.280597685960e-02 1.873333236805e+00
2.070000000010e-01 6.482978112292e-01 3.098283828126e+00 -1.142352082683e+00 -8.277147440704e-02 1.873160271035e+00
2.080000000010e-01 6.501768117983e-01 3.096605541484e+00 -1.140886914423e+00 -8.273698596665e-02 1.872981641095e+00
2.090000000010e-01 6.520464863646e-01 3.094923866627e+00 -1.139423974466e+00 -8.270251154845e-02 1.872797380613e+00
2.100000000010e-01 6.539068678654e-01 3.093238833620e+00 -1.137963259404e+00 -8.266805116240e-02 1.872607523054e+00
2.110000000010e-01 6.557579891322e-01 3.091550472370e+00 -1.136504765831e+00 -8.263360481830e-02 1.872412101720e+00
2.120000000010e-01 6.575998828906e-01 3.089858812616e+00 -1.135048490342e+00 -8.259917252590e-02 1.872211149748e+00
2.130000000010e-01 6.594325817605e-01 3.088163883939e+00 -1.133594429533e+00 -8.256475429482e-02 1.872004700112e+00
2.140000000010e-01 6.612561182568e-01 3.086465715759e+00 -1.132142580000e+00 -8.253035013459e-02 1.871792785624e+00
2.150000000010e-01 6.630705247893e-01 3.084764337335e+00 -1.130692938344e+00 -8.249596005466e-02 1.871575438937e+00
2.160000000010e-01 6.648758336630e-01 3.083059777767e+00 -1.129245501162e+00 -8.246158406436e-02 1.871352692541e+00
2.170000000010e-01 6.666720770784e-01 3.081352065997e+00 -1.127800265057e+00 -8.242722217292e-02 1.871124578768e+00
2.180000000010e-01 6.684592871322e-01 3.079641230810e+00 -1.126357226631e+00 -8.239287438949e-02 1.870891129789e+00
2.190000000010e-01 6.702374958166e-01 3.077927300831e+00 -1.124916382489e+00 -8.235854072312e-02 1.870652377619e+00
2.200000000010e-01 6.720067350206e-01 3.076210304533e+00 -1.123477729236e+00 -8.232422118276e-02 1.870408354115e+00
2.210000000010e-01 6.737670365297e-01 3.074490270232e+00 -1.122041263479e+00 -8.228991577727e-02 1.870159090976e+00
2.220000000010e-01 6.755184320261e-01 3.072767226088e+00 -1.120606981827e+00 -8.225562451540e-02 1.869904619746e+00
2.230000000010e-01 6.772609530895e-01 3.071041200110e+00 -1.119174880890e+00 -8.222134740584e-02 1.869644971814e+00
